Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.56     0.00     1236     0.00     0.00  std::remove_reference<std::vector<Sequence, std::allocator<Sequence> >&>::type&& std::move<std::vector<Sequence, std::allocator<Sequence> >&>(std::vector<Sequence, std::allocator<Sequence> >&)
  0.00      5.56     0.00     1216     0.00     0.00  __gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >::operator++()
  0.00      5.56     0.00     1216     0.00     0.00  __gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >::operator*() const
  0.00      5.56     0.00     1173     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::_Vector_impl::_M_swap_data(std::_Vector_base<Sequence, std::allocator<Sequence> >::_Vector_impl&)
  0.00      5.56     0.00     1058     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::_M_get_Tp_allocator() const
  0.00      5.56     0.00     1012     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >, false>::_S_base(__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >)
  0.00      5.56     0.00     1012     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >, true>::_S_base(__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >)
  0.00      5.56     0.00     1012     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > > >(__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >)
  0.00      5.56     0.00     1012     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > > >(__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >)
  0.00      5.56     0.00      962     0.00     0.00  std::string* std::__addressof<std::string>(std::string&)
  0.00      5.56     0.00      915     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::_Vector_impl::~_Vector_impl()
  0.00      5.56     0.00      915     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::~_Vector_base()
  0.00      5.56     0.00      915     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::~vector()
  0.00      5.56     0.00      913     0.00     0.00  __gnu_cxx::new_allocator<Sequence>::max_size() const
  0.00      5.56     0.00      878     0.00     0.00  bool std::operator==<Sequence*>(std::move_iterator<Sequence*> const&, std::move_iterator<Sequence*> const&)
  0.00      5.56     0.00      878     0.00     0.00  bool std::operator!=<Sequence*>(std::move_iterator<Sequence*> const&, std::move_iterator<Sequence*> const&)
  0.00      5.56     0.00      763     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::end() const
  0.00      5.56     0.00      763     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::begin() const
  0.00      5.56     0.00      704     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::_Vector_impl::_Vector_impl(std::allocator<Sequence> const&)
  0.00      5.56     0.00      681     0.00     0.00  std::remove_reference<std::allocator<Sequence>&>::type&& std::move<std::allocator<Sequence>&>(std::allocator<Sequence>&)
  0.00      5.56     0.00      676     0.00     0.00  Sequence::Sequence(Sequence&&)
  0.00      5.56     0.00      676     0.00     0.00  std::move_iterator<Sequence*>::operator*() const
  0.00      5.56     0.00      676     0.00     0.00  std::move_iterator<Sequence*>::operator++()
  0.00      5.56     0.00      676     0.00     0.00  _ZSt10_ConstructI8SequenceIS0_EEvPT_DpOT0_
  0.00      5.56     0.00      676     0.00     0.00  std::remove_reference<Sequence&>::type&& std::move<Sequence&>(Sequence&)
  0.00      5.56     0.00      676     0.00     0.00  Sequence&& std::forward<Sequence>(std::remove_reference<Sequence>::type&)
  0.00      5.56     0.00      668     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Sequence> >::_S_propagate_on_copy_assign()
  0.00      5.56     0.00      668     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::capacity() const
  0.00      5.56     0.00      668     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::operator=(std::vector<Sequence, std::allocator<Sequence> > const&)
  0.00      5.56     0.00      634     0.00     0.00  Sequence::operator=(Sequence const&)
  0.00      5.56     0.00      632     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<Sequence, std::allocator<Sequence> >*, std::vector<std::vector<Sequence, std::allocator<Sequence> >, std::allocator<std::vector<Sequence, std::allocator<Sequence> > > > >::__normal_iterator(std::vector<Sequence, std::allocator<Sequence> >* const&)
  0.00      5.56     0.00      574     0.00     0.00  bool __gnu_cxx::operator!=<Sequence*, std::vector<Sequence, std::allocator<Sequence> > >(__gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > > const&, __gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > > const&)
  0.00      5.56     0.00      555     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Sequence> >::_S_propagate_on_move_assign()
  0.00      5.56     0.00      555     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::get_allocator() const
  0.00      5.56     0.00      555     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::_Vector_base(std::allocator<Sequence> const&)
  0.00      5.56     0.00      555     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::_M_move_assign(std::vector<Sequence, std::allocator<Sequence> >&&, std::integral_constant<bool, true>)
  0.00      5.56     0.00      555     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::vector(std::allocator<Sequence> const&)
