Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.62     0.00      822     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >, false>::_S_base(__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >)
  0.00      2.62     0.00      822     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >, true>::_S_base(__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >)
  0.00      2.62     0.00      822     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > > >(__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >)
  0.00      2.62     0.00      822     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > > >(__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >)
  0.00      2.62     0.00      791     0.00     0.00  Sequence::operator=(Sequence const&)
  0.00      2.62     0.00      758     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::_Vector_impl::_Vector_impl(std::allocator<Sequence> const&)
  0.00      2.62     0.00      735     0.00     0.00  std::remove_reference<std::allocator<Sequence>&>::type&& std::move<std::allocator<Sequence>&>(std::allocator<Sequence>&)
  0.00      2.62     0.00      677     0.00     0.00  bool __gnu_cxx::operator!=<Sequence*, std::vector<Sequence, std::allocator<Sequence> > >(__gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > > const&, __gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > > const&)
  0.00      2.62     0.00      661     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::end() const
  0.00      2.62     0.00      661     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::begin() const
  0.00      2.62     0.00      656     0.00     0.00  void __gnu_cxx::new_allocator<Sequence>::construct<Sequence, Sequence const&>(Sequence*, Sequence const&)
  0.00      2.62     0.00      656     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<Sequence> >::__construct_helper<Sequence, Sequence const&>::value, void>::type std::allocator_traits<std::allocator<Sequence> >::_S_construct<Sequence, Sequence const&>(std::allocator<Sequence>&, Sequence*, Sequence const&)
  0.00      2.62     0.00      656     0.00     0.00  _ZNSt16allocator_traitsISaI8SequenceEE9constructIS0_IRKS0_EEEDTcl12_S_constructfp_fp0_spcl7forwardIT0_Efp1_EEERS1_PT_DpOS6_
  0.00      2.62     0.00      609     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Sequence> >::_S_propagate_on_move_assign()
  0.00      2.62     0.00      609     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::get_allocator() const
  0.00      2.62     0.00      609     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::_Vector_base(std::allocator<Sequence> const&)
  0.00      2.62     0.00      609     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::_M_move_assign(std::vector<Sequence, std::allocator<Sequence> >&&, std::integral_constant<bool, true>)
  0.00      2.62     0.00      609     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::vector(std::allocator<Sequence> const&)
  0.00      2.62     0.00      609     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::operator=(std::vector<Sequence, std::allocator<Sequence> >&&)
  0.00      2.62     0.00      609     0.00     0.00  void std::__alloc_on_move<std::allocator<Sequence> >(std::allocator<Sequence>&, std::allocator<Sequence>&)
  0.00      2.62     0.00      609     0.00     0.00  void std::__do_alloc_on_move<std::allocator<Sequence> >(std::allocator<Sequence>&, std::allocator<Sequence>&, std::integral_constant<bool, true>)
  0.00      2.62     0.00      602     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<Sequence, std::allocator<Sequence> >*, std::vector<std::vector<Sequence, std::allocator<Sequence> >, std::allocator<std::vector<Sequence, std::allocator<Sequence> > > > >::__normal_iterator(std::vector<Sequence, std::allocator<Sequence> >* const&)
  0.00      2.62     0.00      586     0.00     0.00  _ZSt10_ConstructISsIRKSsEEvPT_DpOT0_
